PA4,V4,,U3RX,I2C7SCL,T2CCP0,,,,,,,,,,,,SSI0XDAT0,,,,,,,
PT2,E18,,,,T7CCP0,,,,CAN1RX,,,,,,,,LCDDATA18,,,,,,,
PK4,U19,,,I2C3SCL,,,EN0LED0,M0PWM6,EN0INTRN,,,,,,,EN0RXD3,EPI0S32,,,,,,,
PP1,D7,C2-,U6TX,,,,T6CCP1,,,,,,,,,,SSI3XDAT3,,,,,,,
PF0,U6,,,,,,EN0LED0,M0PWM0,,,,,,,,SSI3XDAT1,TRD2,,,,,,,
PS1,D13,,,,T2CCP1,,,M0FAULT1,,,,,,,,,LCDDATA21,,,,,,,
PD1,C1,AIN14,,I2C7SDA,T0CCP1,,C1O,,,,,,,,,,SSI2XDAT0,,,,,,,
PL4,H18,,,,T0CCP0,,,,,,,,,,,USB0D4,EPI0S26,,,,,,,
PA3,U5,,U4TX,I2C8SDA,T1CCP1,,,,,,,,,,,,SSI0FSS,,,,,,,
PP0,D6,C2+,U6RX,,,,T6CCP0,,EN0INTRN,,,,,,,,SSI3XDAT2,,,,,,,
PK6,V16,,,I2C4SCL,,,EN0LED1,M0FAULT1,,,,,,,,EN0TXD2,EPI0S25,,,,,,,
PL0,G16,,,I2C2SDA,,,,M0FAULT3,,,,,,,,USB0D0,EPI0S16,,,,,,,
PR4,P3,,,I2C3SCL,T0CCP0,,,M0PWM4,,,,,,,,,LCDDATA00,,,,,,,
PG0,N15,,,I2C1SCL,,,EN0PPS,M0PWM4,,,,,,,,,EPI0S11,,,,,,,
PS5,T13,,,,T4CCP1,,,PHB0,,,,,,,,EN0TXD1,LCDDATA07,,,,,,,
PA6,V5,,U2RX,I2C6SCL,T3CCP0,,USB0EPEN,,,,,,,,SSI0XDAT2,EN0RXCK,EPI0S8,,,,,,,
PG7,U14,,,I2C4SDA,,,OWIRE,,,,,,,,,EN0RXDV,SSI2CLK,,,,,,,
PP6,B8,AIN23,U1DCD,I2C2SDA,,,,,,,,,,,,,,,,,,,,
PA1,W3,,U0TX,I2C9SDA,T0CCP1,,,,CAN0TX,,,,,,,,,,,,,,,
PE3,G2,AIN0,U1DTR,,,,OWIRE,,,,,,,,,,,,,,,,,
PK1,J2,AIN17,U4TX,,,,,,,,,,,,,,EPI0S1,,,,,,,
PP3,C12,,U1CTS,U0DCD,,,,,RTCCLK,,,,,,,USB0DIR,EPI0S30,,,,,,,
PS6,U10,,,,T5CCP0,,,IDX0,,,,,,,,EN0RXER,LCDDATA08,,,,,,,
PB2,A17,,,I2C0SCL,T5CCP0,,EN0MDC,,,,,,,,,USB0STP,EPI0S27,,,,,,,
PL6,C18,USB0DP,,,T1CCP0,,,,,,,,,,,,,,,,,,,
PH7,V2,,U5TX,U7TX,,,,,,,,,,,,,,,,,,,,
PN3,B10,,U1DSR,U2CTS,,,,,,,,,,,,,EPI0S30,,,,,,,
PJ4,F18,,U3RTS,,,,,,,,,,,,,,LCDDATA16,,,,,,,
PN4,A10,,U1DTR,U3RTS,I2C2SDA,,,,,,,,,,,,EPI0S34,,,,,,,
PG3,M16,,,I2C2SDA,,,,,,,,,,,,EN0TXEN,SSI2XDAT2,,,,,,,
PH5,T2,,U0RI,,,,EN0PPS,,,,,,,,,,,,,,,,,
PJ6,N1,,U4RTS,,,,,,,,,,,,,,LCDAC,,,,,,,
PQ1,E2,,,,T6CCP1,,,,,,,,,,,SSI3FSS,EPI0S21,,,,,,,
